"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword","Searching for a term","SUCCESS","2021-11-07T15:44:02.051Z[Etc/UTC]","0.0","11.16"
"Search by keyword","(Fail) Searching for a term","FAILURE","2021-11-07T15:44:13.398Z[Etc/UTC]","0.0","2.29"
