"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword","Searching for a term","SUCCESS","2023-03-11T11:18:34.03872463Z[Etc/UTC]","0.0","8.95"
"Search by keyword","(Fail) Searching for a term","FAILURE","2023-03-11T11:18:43.190806021Z[Etc/UTC]","0.0","2.04"
