"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword","Searching for a term","SUCCESS","2023-03-11T08:44:21.998120976Z[Etc/UTC]","0.0","5.48"
"Search by keyword","(Fail) Searching for a term","FAILURE","2023-03-11T08:44:27.676128706Z[Etc/UTC]","0.0","2.45"
